Away,hRushYdsScored,hPassYdsScored,hPuntAvgScored,hPenAvgScored,hSackAvgScored,hRushYdsAllowed,hPassYdsAllowed,hPuntAvgAllowed,hPenAvgAllowed,hSackAvgAllowed,hTurnoverDiff,aRushYdsScored,aPassYdsScored,aPuntAvgScored,aPenAvgScored,aSackAvgScored,aRushYdsAllowed,aPassYdsAllowed,aPuntAvgAllowed,aPenAvgAllowed,aSackAvgAllowed,aTurnoverDiff
DET,95.36571428571429,223.1357142857143,43.79571428571428,8.302348794063079,2.206428571428572,100.19142857142856,265.92214285714283,40.74357142857143,8.60324866007009,2.1735714285714285,0.20428571428571426,103.41142857142859,285.83285714285716,41.026428571428575,7.559865233972376,2.1714285714285717,127.98285714285717,285.6878571428571,45.2,7.400409297052154,2.017142857142857,0.13071428571428573
GB,108.36623376623376,267.2144805194805,40.843831168831166,9.106600675118532,2.7491558441558444,119.26233766233767,214.03928571428568,39.48883116883117,7.986727195423623,1.7735064935064933,-0.11071428571428572,98.54305194805194,257.9199350649351,42.778246753246755,7.5008990414347565,2.623376623376623,129.46051948051948,240.9385714285714,43.57597402597403,10.233816361668634,2.098766233766234,0.8718831168831169
HOU,139.06444444444446,264.83888888888885,42.23944444444445,8.07753318903319,2.215555555555556,123.39444444444443,235.0677777777778,41.532222222222224,7.8970132675966,1.8522222222222222,-0.006111111111111111,139.72722222222222,242.03277777777777,38.43833333333334,8.623010361552028,2.525,95.59722222222221,272.49666666666667,44.12722222222222,7.755270963604296,3.2550000000000003,0.27999999999999997
IND,113.39821428571427,258.4107142857143,39.47857142857143,9.034729437229437,3.319642857142857,114.0125,252.35535714285714,42.49642857142857,8.677847995258709,2.2125,1.2571428571428571,151.25714285714287,201.96964285714284,40.15535714285714,6.51624787414966,2.866071428571429,116.39642857142857,251.86071428571427,42.79464285714286,8.560830627705627,1.6446428571428573,0.425
JAX,116.1212962962963,229.39444444444442,40.81111111111111,8.57694885361552,1.97037037037037,129.90277777777777,240.6898148148148,41.22870370370371,8.158129910213242,3.6490740740740737,-0.4398148148148148,113.91203703703702,259.05648148148146,45.43981481481482,7.891900018705575,2.737037037037037,118.08148148148149,264.99907407407403,38.84259259259259,9.756416813639037,2.0574074074074074,-0.6787037037037037
KC,99.9088888888889,246.23111111111112,39.43333333333334,8.33706525573192,2.593333333333333,109.15555555555554,231.69333333333333,42.96,7.7931136764470095,1.9644444444444447,-0.00888888888888888,94.2488888888889,344.84666666666664,37.58888888888889,9.627280904280903,2.2111111111111112,133.63111111111112,260.1022222222222,39.11555555555556,7.351312169312171,1.182222222222222,0.7844444444444445
LA,95.42045454545455,257.4280303030303,40.89924242424242,8.640443067033976,2.668939393939394,106.06060606060608,245.74242424242425,42.804545454545455,9.297362313612314,2.703030303030303,-0.018939393939393968,105.3121212121212,268.8590909090909,37.82575757575758,7.737203768453769,2.590151515151515,98.60681818181817,230.90530303030306,39.12196969696969,8.012606042946953,1.8272727272727274,-0.14090909090909093
LAC,96.79229797979798,226.1982323232323,40.633207070707066,8.183331078643578,2.719065656565656,120.81313131313131,254.20202020202018,43.03977272727272,8.10323873657207,3.1773989898989896,-0.3289141414141415,92.88179413179414,291.05627705627705,39.6542809042809,8.173431785733372,1.956228956228956,129.83778258778258,209.31926406926405,40.054713804713806,7.441352441650061,2.5098605098605096,-0.8427128427128426
MIA,123.75,240.135,39.69333333333333,8.653170926295928,2.4466666666666668,106.55833333333335,228.58333333333334,42.775,8.263268398268398,1.7216666666666665,0.10833333333333336,56.083333333333336,185.94,44.001666666666665,7.7033148148148145,1.2933333333333334,164.79666666666668,268.165,39.901666666666664,10.089685185185184,4.36,-1.9116666666666666
MIN,107.01320346320345,246.6530303030303,42.42316017316017,8.371013493781351,3.0059523809523805,100.28744588744588,247.72889610389612,41.25119047619047,8.085177181524584,2.4345238095238093,0.48593073593073594,162.21374458874456,192.8890692640693,40.72853535353535,9.5753071063136,3.102994227994228,91.39303751803752,232.72366522366522,38.80284992784993,8.488612528344671,1.6170634920634919,0.7166305916305916
