,Year,Week,Home,Away,ScoreDiff,RushYdsScoredDiff,PassYdsScoredDiff,PuntAvgScoredDiff,PenAvgScoredDiff,SackAvgScoredDiff,RushYdsAllowedDiff,PassYdsAllowedDiff,PuntAvgAllowedDiff,PenAvgAllowedDiff,SackAvgAllowedDiff,TurnoverDiffDiff,Win
610,2011,17,CIN,BAL,-8,-6.799999999999997,-12.533333333333331,0.6666666666666643,0.5999999999999996,-0.20000000000000018,5.13333333333334,23.33333333333337,4.133333333333333,-1.666666666666666,-0.5333333333333332,0.0,0
611,2011,17,CLE,PIT,-4,-18.733333333333334,-62.33333333333337,-0.3999999999999986,0.5333333333333332,-0.26666666666666705,44.66666666666666,12.0,-1.13333333333334,0.0666666666666682,-0.1333333333333333,0.8666666666666667,0
612,2011,17,HOU,TEN,-1,62.93333333333332,-25.133333333333354,-1.2666666666666586,0.06666666666666643,1.0666666666666667,-29.599999999999994,-42.26666666666668,5.600000000000001,-0.7999999999999989,0.6666666666666667,0.33333333333333337,0
613,2011,17,JAC,IND,6,16.13333333333337,-43.0,-2.933333333333337,1.5999999999999996,0.1333333333333333,-33.46666666666667,-31.066666666666634,-0.8666666666666671,-2.266666666666665,0.6000000000000001,0.8666666666666667,1
614,2011,17,NYG,DAL,17,-29.13333333333334,28.666666666666686,1.0666666666666629,1.1333333333333337,0.1333333333333333,27.46666666666667,17.26666666666668,-1.6000000000000014,2.5333333333333323,-0.4666666666666668,-0.06666666666666671,1
615,2011,17,PHI,WAS,24,47.866666666666674,18.133333333333326,-2.7333333333333343,-2.7333333333333325,0.7333333333333334,-9.199999999999989,-5.866666666666674,3.0,-0.3333333333333339,-0.46666666666666634,0.1333333333333333,1
616,2011,17,GB,DET,4,2.1999999999999744,9.133333333333383,3.733333333333327,-1.5333333333333323,-0.8,-16.533333333333346,61.80000000000001,-0.93333333333333,-0.6666666666666661,0.20000000000000018,0.5999999999999999,1
617,2011,17,MIN,CHI,-4,21.0,-10.599999999999994,-3.4666666666666757,0.6666666666666652,0.733333333333333,10.466666666666683,3.933333333333337,8.06666666666667,1.333333333333334,0.3999999999999999,-0.33333333333333337,0
618,2011,17,ATL,TB,21,10.666666666666657,41.73333333333338,-2.4000000000000057,0.6666666666666679,0.6000000000000003,-48.400000000000006,-7.53333333333336,3.1999999999999957,-0.06666666666666643,-0.2666666666666666,1.3333333333333333,1
619,2011,17,NO,CAR,28,-21.866666666666674,83.26666666666668,9.333333333333329,-1.0,0.0,-20.73333333333335,32.0,-0.06666666666666998,-1.1333333333333329,-0.6666666666666665,-0.4,1
620,2011,17,STL,SF,-7,-24.33333333333333,-4.133333333333297,-6.266666666666666,-1.0666666666666655,-0.06666666666666687,79.8,-28.53333333333333,-0.20000000000000284,-0.9333333333333318,0.6666666666666665,-1.9333333333333333,0
621,2011,17,DEN,KC,-4,42.73333333333335,-34.99999999999997,0.06666666666666288,1.133333333333332,0.8,1.26666666666668,23.866666666666674,-1.1333333333333329,0.4666666666666659,0.46666666666666634,-0.5333333333333332,0
622,2011,17,OAK,SD,-12,19.60000000000001,-38.06666666666666,5.133333333333333,0.2666666666666666,0.3999999999999999,11.066666666666677,36.333333333333314,-0.4000000000000057,-0.5999999999999996,-0.2666666666666664,0.2,0
623,2011,17,ARI,SEA,3,-5.533333333333346,26.19999999999996,-2.86666666666666,1.8666666666666663,0.3999999999999999,9.333333333333314,16.39999999999995,-0.8666666666666671,-1.7999999999999998,0.5333333333333337,-1.2666666666666666,1
626,2012,4,HOU,TEN,24,111.33333333333334,-27.666666666666686,-8.666666666666686,-0.33333333333333215,1.0,-82.66666666666667,-124.66666666666669,9.666666666666664,1.3333333333333321,0.33333333333333337,2.333333333333333,1
628,2012,4,DET,MIN,-7,-19.333333333333314,102.0,-7.666666666666664,-0.3333333333333339,0.0,-0.3333333333333144,39.333333333333314,-7.666666666666664,0.9999999999999982,-0.6666666666666667,-0.6666666666666666,0
631,2012,4,NYJ,SF,-34,-42.333333333333314,37.333333333333314,0.6666666666666572,-1.0,-0.6666666666666667,57.66666666666666,-11.666666666666686,-9.0,-1.666666666666666,-2.0,0.6666666666666666,0
632,2012,4,ARI,MIA,3,-92.00000000000004,-12.666666666666629,-0.6666666666666785,1.3333333333333321,3.0,42.33333333333333,-103.0,-3.0,-1.0,0.3333333333333335,1.6666666666666665,1
633,2012,4,DEN,OAK,31,27.99999999999997,-25.666666666666686,8.333333333333321,2.0,1.333333333333333,-17.0,-31.000000000000057,0.0,-0.3333333333333357,1.3333333333333333,-0.6666666666666667,1
634,2012,4,JAC,CIN,-17,20.333333333333314,-141.33333333333334,3.0,-2.333333333333332,-2.6666666666666665,-0.6666666666666572,-3.6666666666666856,9.333333333333336,-0.6666666666666661,-2.0,1.0,0
635,2012,4,GB,NO,1,-14.333333333333357,-58.666666666666686,-1.6666666666666856,0.6666666666666661,2.333333333333333,-79.33333333333334,-138.66666666666669,9.333333333333336,0.0,3.0,1.0,1
636,2012,4,TB,WAS,-2,-85.99999999999994,-76.33333333333331,5.333333333333329,-1.666666666666666,0.33333333333333304,-44.66666666666666,15.999999999999943,-12.999999999999993,-0.33333333333333215,-0.33333333333333304,-0.6666666666666667,0
637,2012,4,PHI,NYG,2,34.666666666666686,-44.0,-0.6666666666666785,2.666666666666668,0.33333333333333304,9.0,-89.00000000000006,0.6666666666666572,3.0000000000000018,1.3333333333333333,-3.333333333333333,1
638,2012,4,DAL,CHI,-16,-27.000000000000014,79.0,4.3333333333333215,0.6666666666666679,-2.333333333333334,37.0,-66.0,0.6666666666666785,-2.666666666666666,-1.3333333333333335,-2.0,0
639,2012,5,STL,ARI,14,22.0,-6.5,-1.5,-1.0,-2.5,33.5,-39.5,1.5,0.0,0.0,-0.5,1
640,2012,5,WAS,ATL,-7,77.75,-20.0,-8.0,1.25,-0.75,-57.0,119.25,1.25,1.0,-0.5,-0.75,0
641,2012,5,PIT,PHI,2,-84.0,15.333333333333314,0.25,-1.75,-0.08333333333333326,9.5,-16.416666666666686,-1.5833333333333428,-0.4166666666666661,0.25,1.25,1
642,2012,5,IND,GB,3,6.083333333333314,17.416666666666686,0.9166666666666572,-2.166666666666668,-1.166666666666667,18.333333333333343,30.083333333333314,1.1666666666666572,0.9166666666666661,-2.333333333333333,-1.0833333333333333,1
643,2012,5,NYG,CLE,14,13.25,86.25,2.75,-2.5,-1.0,1.0,-32.0,3.0,-1.5,-1.0,1.0,1
